,categorie,pays,unite,valeur
31,Individuals worked from home every day or almost every day,Bulgaria,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",8
32,Individuals worked from home every day or almost every day,Bulgaria,Percentage of employees and self-employed who used internet within the last year,4
33,Individuals worked from home every day or almost every day,Bulgaria,Percentage of individuals working from home,888
34,Individuals worked from home every day or almost every day,Bulgaria,Percentage of individuals working at an external site or on the move,888
35,Individuals worked from home every day or almost every day,Czechia,Percentage of individuals,888
36,Individuals worked from home every day or almost every day,Czechia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",888
37,Individuals worked from home every day or almost every day,Czechia,Percentage of employees and self-employed who used internet within the last year,888
38,Individuals worked from home every day or almost every day,Czechia,Percentage of individuals working from home,888
39,Individuals worked from home every day or almost every day,Czechia,Percentage of individuals working at an external site or on the move,888
40,Individuals worked from home every day or almost every day,Denmark,Percentage of individuals,6
41,Individuals worked from home every day or almost every day,Denmark,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
42,Individuals worked from home every day or almost every day,Denmark,Percentage of employees and self-employed who used internet within the last year,11
43,Individuals worked from home every day or almost every day,Denmark,Percentage of individuals working from home,888
44,Individuals worked from home every day or almost every day,Denmark,Percentage of individuals working at an external site or on the move,888
45,Individuals worked from home every day or almost every day,Germany (until 1990 former territory of the FRG),Percentage of individuals,5
46,Individuals worked from home every day or almost every day,Germany (until 1990 former territory of the FRG),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",9
47,Individuals worked from home every day or almost every day,Germany (until 1990 former territory of the FRG),Percentage of employees and self-employed who used internet within the last year,7
48,Individuals worked from home every day or almost every day,Germany (until 1990 former territory of the FRG),Percentage of individuals working from home,888
49,Individuals worked from home every day or almost every day,Germany (until 1990 former territory of the FRG),Percentage of individuals working at an external site or on the move,888
50,Individuals worked from home every day or almost every day,Estonia,Percentage of individuals,6
51,Individuals worked from home every day or almost every day,Estonia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
52,Individuals worked from home every day or almost every day,Estonia,Percentage of employees and self-employed who used internet within the last year,9
53,Individuals worked from home every day or almost every day,Estonia,Percentage of individuals working from home,888
54,Individuals worked from home every day or almost every day,Estonia,Percentage of individuals working at an external site or on the move,888
55,Individuals worked from home every day or almost every day,Ireland,Percentage of individuals,5
56,Individuals worked from home every day or almost every day,Ireland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",15
57,Individuals worked from home every day or almost every day,Ireland,Percentage of employees and self-employed who used internet within the last year,11
58,Individuals worked from home every day or almost every day,Ireland,Percentage of individuals working from home,888
59,Individuals worked from home every day or almost every day,Ireland,Percentage of individuals working at an external site or on the move,888
60,Individuals worked from home every day or almost every day,Greece,Percentage of individuals,4
61,Individuals worked from home every day or almost every day,Greece,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",17
62,Individuals worked from home every day or almost every day,Greece,Percentage of employees and self-employed who used internet within the last year,10
63,Individuals worked from home every day or almost every day,Greece,Percentage of individuals working from home,888
64,Individuals worked from home every day or almost every day,Greece,Percentage of individuals working at an external site or on the move,888
65,Individuals worked from home every day or almost every day,Spain,Percentage of individuals,4
66,Individuals worked from home every day or almost every day,Spain,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
67,Individuals worked from home every day or almost every day,Spain,Percentage of employees and self-employed who used internet within the last year,9
68,Individuals worked from home every day or almost every day,Spain,Percentage of individuals working from home,888
69,Individuals worked from home every day or almost every day,Spain,Percentage of individuals working at an external site or on the move,888
70,Individuals worked from home every day or almost every day,France,Percentage of individuals,6
71,Individuals worked from home every day or almost every day,France,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",15
72,Individuals worked from home every day or almost every day,France,Percentage of employees and self-employed who used internet within the last year,12
73,Individuals worked from home every day or almost every day,France,Percentage of individuals working from home,888
74,Individuals worked from home every day or almost every day,France,Percentage of individuals working at an external site or on the move,888
75,Individuals worked from home every day or almost every day,Croatia,Percentage of individuals,3
76,Individuals worked from home every day or almost every day,Croatia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",9
77,Individuals worked from home every day or almost every day,Croatia,Percentage of employees and self-employed who used internet within the last year,6
78,Individuals worked from home every day or almost every day,Croatia,Percentage of individuals working from home,888
79,Individuals worked from home every day or almost every day,Croatia,Percentage of individuals working at an external site or on the move,888
80,Individuals worked from home every day or almost every day,Italy,Percentage of individuals,3
81,Individuals worked from home every day or almost every day,Italy,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",9
82,Individuals worked from home every day or almost every day,Italy,Percentage of employees and self-employed who used internet within the last year,7
83,Individuals worked from home every day or almost every day,Italy,Percentage of individuals working from home,888
84,Individuals worked from home every day or almost every day,Italy,Percentage of individuals working at an external site or on the move,888
85,Individuals worked from home every day or almost every day,Cyprus,Percentage of individuals,2
86,Individuals worked from home every day or almost every day,Cyprus,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",7
87,Individuals worked from home every day or almost every day,Cyprus,Percentage of employees and self-employed who used internet within the last year,4
88,Individuals worked from home every day or almost every day,Cyprus,Percentage of individuals working from home,888
89,Individuals worked from home every day or almost every day,Cyprus,Percentage of individuals working at an external site or on the move,888
90,Individuals worked from home every day or almost every day,Latvia,Percentage of individuals,5
91,Individuals worked from home every day or almost every day,Latvia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",14
92,Individuals worked from home every day or almost every day,Latvia,Percentage of employees and self-employed who used internet within the last year,9
93,Individuals worked from home every day or almost every day,Latvia,Percentage of individuals working from home,888
94,Individuals worked from home every day or almost every day,Latvia,Percentage of individuals working at an external site or on the move,888
95,Individuals worked from home every day or almost every day,Lithuania,Percentage of individuals,3
96,Individuals worked from home every day or almost every day,Lithuania,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",7
97,Individuals worked from home every day or almost every day,Lithuania,Percentage of employees and self-employed who used internet within the last year,5
98,Individuals worked from home every day or almost every day,Lithuania,Percentage of individuals working from home,888
99,Individuals worked from home every day or almost every day,Lithuania,Percentage of individuals working at an external site or on the move,888
100,Individuals worked from home every day or almost every day,Luxembourg,Percentage of individuals,8
101,Individuals worked from home every day or almost every day,Luxembourg,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",16
102,Individuals worked from home every day or almost every day,Luxembourg,Percentage of employees and self-employed who used internet within the last year,14
103,Individuals worked from home every day or almost every day,Luxembourg,Percentage of individuals working from home,888
104,Individuals worked from home every day or almost every day,Luxembourg,Percentage of individuals working at an external site or on the move,888
105,Individuals worked from home every day or almost every day,Hungary,Percentage of individuals,4
106,Individuals worked from home every day or almost every day,Hungary,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",15
107,Individuals worked from home every day or almost every day,Hungary,Percentage of employees and self-employed who used internet within the last year,9
108,Individuals worked from home every day or almost every day,Hungary,Percentage of individuals working from home,888
109,Individuals worked from home every day or almost every day,Hungary,Percentage of individuals working at an external site or on the move,888
110,Individuals worked from home every day or almost every day,Malta,Percentage of individuals,8
111,Individuals worked from home every day or almost every day,Malta,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",17
112,Individuals worked from home every day or almost every day,Malta,Percentage of employees and self-employed who used internet within the last year,14
113,Individuals worked from home every day or almost every day,Malta,Percentage of individuals working from home,888
114,Individuals worked from home every day or almost every day,Malta,Percentage of individuals working at an external site or on the move,888
115,Individuals worked from home every day or almost every day,Netherlands,Percentage of individuals,7
116,Individuals worked from home every day or almost every day,Netherlands,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",11
117,Individuals worked from home every day or almost every day,Netherlands,Percentage of employees and self-employed who used internet within the last year,11
118,Individuals worked from home every day or almost every day,Netherlands,Percentage of individuals working from home,888
119,Individuals worked from home every day or almost every day,Netherlands,Percentage of individuals working at an external site or on the move,888
120,Individuals worked from home every day or almost every day,Austria,Percentage of individuals,4
121,Individuals worked from home every day or almost every day,Austria,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",9
122,Individuals worked from home every day or almost every day,Austria,Percentage of employees and self-employed who used internet within the last year,7
123,Individuals worked from home every day or almost every day,Austria,Percentage of individuals working from home,888
124,Individuals worked from home every day or almost every day,Austria,Percentage of individuals working at an external site or on the move,888
125,Individuals worked from home every day or almost every day,Poland,Percentage of individuals,4
126,Individuals worked from home every day or almost every day,Poland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
127,Individuals worked from home every day or almost every day,Poland,Percentage of employees and self-employed who used internet within the last year,7
128,Individuals worked from home every day or almost every day,Poland,Percentage of individuals working from home,888
129,Individuals worked from home every day or almost every day,Poland,Percentage of individuals working at an external site or on the move,888
130,Individuals worked from home every day or almost every day,Portugal,Percentage of individuals,4
131,Individuals worked from home every day or almost every day,Portugal,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",11
132,Individuals worked from home every day or almost every day,Portugal,Percentage of employees and self-employed who used internet within the last year,8
133,Individuals worked from home every day or almost every day,Portugal,Percentage of individuals working from home,888
134,Individuals worked from home every day or almost every day,Portugal,Percentage of individuals working at an external site or on the move,888
135,Individuals worked from home every day or almost every day,Romania,Percentage of individuals,1
136,Individuals worked from home every day or almost every day,Romania,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",5
137,Individuals worked from home every day or almost every day,Romania,Percentage of employees and self-employed who used internet within the last year,2
138,Individuals worked from home every day or almost every day,Romania,Percentage of individuals working from home,888
139,Individuals worked from home every day or almost every day,Romania,Percentage of individuals working at an external site or on the move,888
140,Individuals worked from home every day or almost every day,Slovenia,Percentage of individuals,6
141,Individuals worked from home every day or almost every day,Slovenia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",14
142,Individuals worked from home every day or almost every day,Slovenia,Percentage of employees and self-employed who used internet within the last year,10
143,Individuals worked from home every day or almost every day,Slovenia,Percentage of individuals working from home,888
144,Individuals worked from home every day or almost every day,Slovenia,Percentage of individuals working at an external site or on the move,888
145,Individuals worked from home every day or almost every day,Slovakia,Percentage of individuals,4
146,Individuals worked from home every day or almost every day,Slovakia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
147,Individuals worked from home every day or almost every day,Slovakia,Percentage of employees and self-employed who used internet within the last year,7
148,Individuals worked from home every day or almost every day,Slovakia,Percentage of individuals working from home,888
149,Individuals worked from home every day or almost every day,Slovakia,Percentage of individuals working at an external site or on the move,888
150,Individuals worked from home every day or almost every day,Finland,Percentage of individuals,8
151,Individuals worked from home every day or almost every day,Finland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",17
152,Individuals worked from home every day or almost every day,Finland,Percentage of employees and self-employed who used internet within the last year,14
153,Individuals worked from home every day or almost every day,Finland,Percentage of individuals working from home,888
154,Individuals worked from home every day or almost every day,Finland,Percentage of individuals working at an external site or on the move,888
155,Individuals worked from home every day or almost every day,Sweden,Percentage of individuals,888
156,Individuals worked from home every day or almost every day,Sweden,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",888
157,Individuals worked from home every day or almost every day,Sweden,Percentage of employees and self-employed who used internet within the last year,888
158,Individuals worked from home every day or almost every day,Sweden,Percentage of individuals working from home,888
159,Individuals worked from home every day or almost every day,Sweden,Percentage of individuals working at an external site or on the move,888
160,Individuals worked from home every day or almost every day,United Kingdom,Percentage of individuals,7
161,Individuals worked from home every day or almost every day,United Kingdom,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",14
162,Individuals worked from home every day or almost every day,United Kingdom,Percentage of employees and self-employed who used internet within the last year,11
163,Individuals worked from home every day or almost every day,United Kingdom,Percentage of individuals working from home,888
164,Individuals worked from home every day or almost every day,United Kingdom,Percentage of individuals working at an external site or on the move,888
165,Individuals worked from home every day or almost every day,Iceland,Percentage of individuals,11
166,Individuals worked from home every day or almost every day,Iceland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",16
167,Individuals worked from home every day or almost every day,Iceland,Percentage of employees and self-employed who used internet within the last year,13
168,Individuals worked from home every day or almost every day,Iceland,Percentage of individuals working from home,888
169,Individuals worked from home every day or almost every day,Iceland,Percentage of individuals working at an external site or on the move,888
170,Individuals worked from home every day or almost every day,Norway,Percentage of individuals,11
171,Individuals worked from home every day or almost every day,Norway,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",17
172,Individuals worked from home every day or almost every day,Norway,Percentage of employees and self-employed who used internet within the last year,15
173,Individuals worked from home every day or almost every day,Norway,Percentage of individuals working from home,888
174,Individuals worked from home every day or almost every day,Norway,Percentage of individuals working at an external site or on the move,888
175,Individuals worked from home every day or almost every day,Montenegro,Percentage of individuals,3
176,Individuals worked from home every day or almost every day,Montenegro,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",18
177,Individuals worked from home every day or almost every day,Montenegro,Percentage of employees and self-employed who used internet within the last year,9
178,Individuals worked from home every day or almost every day,Montenegro,Percentage of individuals working from home,888
179,Individuals worked from home every day or almost every day,Montenegro,Percentage of individuals working at an external site or on the move,888
180,Individuals worked from home every day or almost every day,Albania,Percentage of individuals,2
181,Individuals worked from home every day or almost every day,Albania,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",23
182,Individuals worked from home every day or almost every day,Albania,Percentage of employees and self-employed who used internet within the last year,8
183,Individuals worked from home every day or almost every day,Albania,Percentage of individuals working from home,888
184,Individuals worked from home every day or almost every day,Albania,Percentage of individuals working at an external site or on the move,888
185,Individuals worked from home every day or almost every day,Serbia,Percentage of individuals,5
186,Individuals worked from home every day or almost every day,Serbia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",20
187,Individuals worked from home every day or almost every day,Serbia,Percentage of employees and self-employed who used internet within the last year,13
188,Individuals worked from home every day or almost every day,Serbia,Percentage of individuals working from home,888
189,Individuals worked from home every day or almost every day,Serbia,Percentage of individuals working at an external site or on the move,888
190,Individuals worked from home every day or almost every day,Bosnia and Herzegovina,Percentage of individuals,2
191,Individuals worked from home every day or almost every day,Bosnia and Herzegovina,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",11
192,Individuals worked from home every day or almost every day,Bosnia and Herzegovina,Percentage of employees and self-employed who used internet within the last year,6
193,Individuals worked from home every day or almost every day,Bosnia and Herzegovina,Percentage of individuals working from home,888
194,Individuals worked from home every day or almost every day,Bosnia and Herzegovina,Percentage of individuals working at an external site or on the move,888
195,Individuals worked from home every day or almost every day,Kosovo (under United Nations Security Council Resolution 1244/99),Percentage of individuals,1
196,Individuals worked from home every day or almost every day,Kosovo (under United Nations Security Council Resolution 1244/99),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",11
197,Individuals worked from home every day or almost every day,Kosovo (under United Nations Security Council Resolution 1244/99),Percentage of employees and self-employed who used internet within the last year,3
198,Individuals worked from home every day or almost every day,Kosovo (under United Nations Security Council Resolution 1244/99),Percentage of individuals working from home,888
199,Individuals worked from home every day or almost every day,Kosovo (under United Nations Security Council Resolution 1244/99),Percentage of individuals working at an external site or on the move,888
200,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (from 2020),Percentage of individuals,5
201,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (from 2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
202,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (from 2020),Percentage of employees and self-employed who used internet within the last year,9
203,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (from 2020),Percentage of individuals working from home,888
204,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (from 2020),Percentage of individuals working at an external site or on the move,888
205,Individuals worked from home at least once a week (but not every day),European Union - 28 countries (2013-2020),Percentage of individuals,5
206,Individuals worked from home at least once a week (but not every day),European Union - 28 countries (2013-2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",13
207,Individuals worked from home at least once a week (but not every day),European Union - 28 countries (2013-2020),Percentage of employees and self-employed who used internet within the last year,10
208,Individuals worked from home at least once a week (but not every day),European Union - 28 countries (2013-2020),Percentage of individuals working from home,888
209,Individuals worked from home at least once a week (but not every day),European Union - 28 countries (2013-2020),Percentage of individuals working at an external site or on the move,888
210,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (2007-2013),Percentage of individuals,5
211,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (2007-2013),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",13
212,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (2007-2013),Percentage of employees and self-employed who used internet within the last year,10
213,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (2007-2013),Percentage of individuals working from home,888
214,Individuals worked from home at least once a week (but not every day),European Union - 27 countries (2007-2013),Percentage of individuals working at an external site or on the move,888
215,Individuals worked from home at least once a week (but not every day),European Union - 15 countries (1995-2004),Percentage of individuals,6
216,Individuals worked from home at least once a week (but not every day),European Union - 15 countries (1995-2004),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",13
217,Individuals worked from home at least once a week (but not every day),European Union - 15 countries (1995-2004),Percentage of employees and self-employed who used internet within the last year,11
218,Individuals worked from home at least once a week (but not every day),European Union - 15 countries (1995-2004),Percentage of individuals working from home,888
219,Individuals worked from home at least once a week (but not every day),European Union - 15 countries (1995-2004),Percentage of individuals working at an external site or on the move,888
220,Individuals worked from home at least once a week (but not every day),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals,5
221,Individuals worked from home at least once a week (but not every day),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
222,Individuals worked from home at least once a week (but not every day),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of employees and self-employed who used internet within the last year,10
223,Individuals worked from home at least once a week (but not every day),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals working from home,888
224,Individuals worked from home at least once a week (but not every day),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Percentage of individuals working at an external site or on the move,888
225,Individuals worked from home at least once a week (but not every day),Belgium,Percentage of individuals,5
226,Individuals worked from home at least once a week (but not every day),Belgium,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",12
227,Individuals worked from home at least once a week (but not every day),Belgium,Percentage of employees and self-employed who used internet within the last year,10
228,Individuals worked from home at least once a week (but not every day),Belgium,Percentage of individuals working from home,888
229,Individuals worked from home at least once a week (but not every day),Belgium,Percentage of individuals working at an external site or on the move,888
230,Individuals worked from home at least once a week (but not every day),Bulgaria,Percentage of individuals,2
231,Individuals worked from home at least once a week (but not every day),Bulgaria,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",10
232,Individuals worked from home at least once a week (but not every day),Bulgaria,Percentage of employees and self-employed who used internet within the last year,5
233,Individuals worked from home at least once a week (but not every day),Bulgaria,Percentage of individuals working from home,888
234,Individuals worked from home at least once a week (but not every day),Bulgaria,Percentage of individuals working at an external site or on the move,888
235,Individuals worked from home at least once a week (but not every day),Czechia,Percentage of individuals,888
236,Individuals worked from home at least once a week (but not every day),Czechia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",888
237,Individuals worked from home at least once a week (but not every day),Czechia,Percentage of employees and self-employed who used internet within the last year,888
238,Individuals worked from home at least once a week (but not every day),Czechia,Percentage of individuals working from home,888
239,Individuals worked from home at least once a week (but not every day),Czechia,Percentage of individuals working at an external site or on the move,888
240,Individuals worked from home at least once a week (but not every day),Denmark,Percentage of individuals,7
241,Individuals worked from home at least once a week (but not every day),Denmark,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",14
242,Individuals worked from home at least once a week (but not every day),Denmark,Percentage of employees and self-employed who used internet within the last year,13
243,Individuals worked from home at least once a week (but not every day),Denmark,Percentage of individuals working from home,888
244,Individuals worked from home at least once a week (but not every day),Denmark,Percentage of individuals working at an external site or on the move,888
245,Individuals worked from home at least once a week (but not every day),Germany (until 1990 former territory of the FRG),Percentage of individuals,5
246,Individuals worked from home at least once a week (but not every day),Germany (until 1990 former territory of the FRG),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",9
247,Individuals worked from home at least once a week (but not every day),Germany (until 1990 former territory of the FRG),Percentage of employees and self-employed who used internet within the last year,8
248,Individuals worked from home at least once a week (but not every day),Germany (until 1990 former territory of the FRG),Percentage of individuals working from home,888
249,Individuals worked from home at least once a week (but not every day),Germany (until 1990 former territory of the FRG),Percentage of individuals working at an external site or on the move,888
250,Individuals worked from home at least once a week (but not every day),Estonia,Percentage of individuals,7
251,Individuals worked from home at least once a week (but not every day),Estonia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",15
252,Individuals worked from home at least once a week (but not every day),Estonia,Percentage of employees and self-employed who used internet within the last year,12
253,Individuals worked from home at least once a week (but not every day),Estonia,Percentage of individuals working from home,888
254,Individuals worked from home at least once a week (but not every day),Estonia,Percentage of individuals working at an external site or on the move,888
255,Individuals worked from home at least once a week (but not every day),Ireland,Percentage of individuals,3
256,Individuals worked from home at least once a week (but not every day),Ireland,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",9
257,Individuals worked from home at least once a week (but not every day),Ireland,Percentage of employees and self-employed who used internet within the last year,7
258,Individuals worked from home at least once a week (but not every day),Ireland,Percentage of individuals working from home,888
259,Individuals worked from home at least once a week (but not every day),Ireland,Percentage of individuals working at an external site or on the move,888
260,Individuals worked from home at least once a week (but not every day),Greece,Percentage of individuals,3
261,Individuals worked from home at least once a week (but not every day),Greece,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",14
262,Individuals worked from home at least once a week (but not every day),Greece,Percentage of employees and self-employed who used internet within the last year,9
263,Individuals worked from home at least once a week (but not every day),Greece,Percentage of individuals working from home,888
264,Individuals worked from home at least once a week (but not every day),Greece,Percentage of individuals working at an external site or on the move,888
265,Individuals worked from home at least once a week (but not every day),Spain,Percentage of individuals,5
266,Individuals worked from home at least once a week (but not every day),Spain,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",14
267,Individuals worked from home at least once a week (but not every day),Spain,Percentage of employees and self-employed who used internet within the last year,10
268,Individuals worked from home at least once a week (but not every day),Spain,Percentage of individuals working from home,888
269,Individuals worked from home at least once a week (but not every day),Spain,Percentage of individuals working at an external site or on the move,888
270,Individuals worked from home at least once a week (but not every day),France,Percentage of individuals,6
271,Individuals worked from home at least once a week (but not every day),France,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",13
272,Individuals worked from home at least once a week (but not every day),France,Percentage of employees and self-employed who used internet within the last year,10
273,Individuals worked from home at least once a week (but not every day),France,Percentage of individuals working from home,888
274,Individuals worked from home at least once a week (but not every day),France,Percentage of individuals working at an external site or on the move,888
275,Individuals worked from home at least once a week (but not every day),Croatia,Percentage of individuals,2
276,Individuals worked from home at least once a week (but not every day),Croatia,"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",7
277,Individuals worked from home at least once a week (but not every day),Croatia,Percentage of employees and self-employed who used internet within the last year,5
278,Individuals worked from home at least once a week (but not every day),Croatia,Percentage of individuals working from home,888
279,Individuals worked from home at least once a week (but not every day),Croatia,Percentage of individuals working at an external site or on the move,888
280,Individuals worked from home at least once a week (but not every day),Italy,Percentage of individuals,4
