"INDIC_IS","GEO","IND_TYPE","TIME","UNIT","Value","Flag and Footnotes"
"Individuals worked from home every day or almost every day","Denmark","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Denmark","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Germany (until 1990 former territory of the FRG)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","Germany (until 1990 former territory of the FRG)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","9",""
"Individuals worked from home every day or almost every day","Germany (until 1990 former territory of the FRG)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","7",""
"Individuals worked from home every day or almost every day","Germany (until 1990 former territory of the FRG)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Germany (until 1990 former territory of the FRG)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Estonia","All Individuals","2018","Percentage of individuals","6",""
"Individuals worked from home every day or almost every day","Estonia","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","Estonia","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","Estonia","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Estonia","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Ireland","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","Ireland","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","15",""
"Individuals worked from home every day or almost every day","Ireland","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","11",""
"Individuals worked from home every day or almost every day","Ireland","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Ireland","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Greece","All Individuals","2018","Percentage of individuals","4",""
"Individuals worked from home every day or almost every day","Greece","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","17",""
"Individuals worked from home every day or almost every day","Greece","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","10",""
"Individuals worked from home every day or almost every day","Greece","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Greece","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Spain","All Individuals","2018","Percentage of individuals","4",""
"Individuals worked from home every day or almost every day","Spain","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","Spain","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","Spain","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Spain","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","France","All Individuals","2018","Percentage of individuals","6",""
"Individuals worked from home every day or almost every day","France","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","15",""
"Individuals worked from home every day or almost every day","France","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","12",""
"Individuals worked from home every day or almost every day","France","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","France","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Croatia","All Individuals","2018","Percentage of individuals","3",""
"Individuals worked from home every day or almost every day","Croatia","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","9",""
"Individuals worked from home every day or almost every day","Croatia","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","6",""
"Individuals worked from home every day or almost every day","Croatia","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Croatia","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Italy","All Individuals","2018","Percentage of individuals","3",""
"Individuals worked from home every day or almost every day","Italy","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","9",""
"Individuals worked from home every day or almost every day","Italy","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","7",""
"Individuals worked from home every day or almost every day","Italy","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Italy","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Cyprus","All Individuals","2018","Percentage of individuals","2",""
"Individuals worked from home every day or almost every day","Cyprus","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","7",""
"Individuals worked from home every day or almost every day","Cyprus","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","4",""
"Individuals worked from home every day or almost every day","Cyprus","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Cyprus","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Latvia","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","Latvia","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","14",""
"Individuals worked from home every day or almost every day","Latvia","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","Latvia","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Latvia","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Lithuania","All Individuals","2018","Percentage of individuals","3",""
"Individuals worked from home every day or almost every day","Lithuania","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","7",""
"Individuals worked from home every day or almost every day","Lithuania","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","5",""
"Individuals worked from home every day or almost every day","Lithuania","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Lithuania","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Luxembourg","All Individuals","2018","Percentage of individuals","8",""
"Individuals worked from home every day or almost every day","Luxembourg","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","16",""
"Individuals worked from home every day or almost every day","Luxembourg","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","14",""
"Individuals worked from home every day or almost every day","Luxembourg","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Luxembourg","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Hungary","All Individuals","2018","Percentage of individuals","4",""
"Individuals worked from home every day or almost every day","Hungary","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","15",""
"Individuals worked from home every day or almost every day","Hungary","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","Hungary","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Hungary","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Malta","All Individuals","2018","Percentage of individuals","8",""
"Individuals worked from home every day or almost every day","Malta","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","17",""
"Individuals worked from home every day or almost every day","Malta","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","14",""
"Individuals worked from home every day or almost every day","Malta","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Malta","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Netherlands","All Individuals","2018","Percentage of individuals","7",""
"Individuals worked from home every day or almost every day","Netherlands","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","11",""
"Individuals worked from home every day or almost every day","Netherlands","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","11",""
"Individuals worked from home every day or almost every day","Netherlands","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Netherlands","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Austria","All Individuals","2018","Percentage of individuals","4",""
"Individuals worked from home every day or almost every day","Austria","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","9",""
"Individuals worked from home every day or almost every day","Austria","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","7",""
"Individuals worked from home every day or almost every day","Austria","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Austria","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Poland","All Individuals","2018","Percentage of individuals","4",""
"Individuals worked from home every day or almost every day","Poland","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","Poland","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","7",""
"Individuals worked from home every day or almost every day","Poland","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Poland","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Portugal","All Individuals","2018","Percentage of individuals","4",""
"Individuals worked from home every day or almost every day","Portugal","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","11",""
"Individuals worked from home every day or almost every day","Portugal","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","8",""
"Individuals worked from home every day or almost every day","Portugal","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Portugal","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Romania","All Individuals","2018","Percentage of individuals","1",""
"Individuals worked from home every day or almost every day","Romania","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","5",""
"Individuals worked from home every day or almost every day","Romania","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","2",""
"Individuals worked from home every day or almost every day","Romania","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Romania","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Slovenia","All Individuals","2018","Percentage of individuals","6",""
"Individuals worked from home every day or almost every day","Slovenia","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","14",""
"Individuals worked from home every day or almost every day","Slovenia","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","10",""
"Individuals worked from home every day or almost every day","Slovenia","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Slovenia","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Slovakia","All Individuals","2018","Percentage of individuals","4",""
"Individuals worked from home every day or almost every day","Slovakia","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home every day or almost every day","Slovakia","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","7",""
"Individuals worked from home every day or almost every day","Slovakia","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Slovakia","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Finland","All Individuals","2018","Percentage of individuals","8",""
"Individuals worked from home every day or almost every day","Finland","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","17",""
"Individuals worked from home every day or almost every day","Finland","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","14",""
"Individuals worked from home every day or almost every day","Finland","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Finland","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Sweden","All Individuals","2018","Percentage of individuals",":","u"
"Individuals worked from home every day or almost every day","Sweden","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",":","u"
"Individuals worked from home every day or almost every day","Sweden","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year",":","u"
"Individuals worked from home every day or almost every day","Sweden","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Sweden","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","United Kingdom","All Individuals","2018","Percentage of individuals","7",""
"Individuals worked from home every day or almost every day","United Kingdom","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","14",""
"Individuals worked from home every day or almost every day","United Kingdom","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","11",""
"Individuals worked from home every day or almost every day","United Kingdom","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","United Kingdom","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Iceland","All Individuals","2018","Percentage of individuals","11",""
"Individuals worked from home every day or almost every day","Iceland","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","16",""
"Individuals worked from home every day or almost every day","Iceland","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","13",""
"Individuals worked from home every day or almost every day","Iceland","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Iceland","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Norway","All Individuals","2018","Percentage of individuals","11",""
"Individuals worked from home every day or almost every day","Norway","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","17",""
"Individuals worked from home every day or almost every day","Norway","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","15",""
"Individuals worked from home every day or almost every day","Norway","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Norway","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Montenegro","All Individuals","2018","Percentage of individuals","3",""
"Individuals worked from home every day or almost every day","Montenegro","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","18",""
"Individuals worked from home every day or almost every day","Montenegro","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home every day or almost every day","Montenegro","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Montenegro","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Albania","All Individuals","2018","Percentage of individuals","2",""
"Individuals worked from home every day or almost every day","Albania","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","23",""
"Individuals worked from home every day or almost every day","Albania","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","8",""
"Individuals worked from home every day or almost every day","Albania","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Albania","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Serbia","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home every day or almost every day","Serbia","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","20",""
"Individuals worked from home every day or almost every day","Serbia","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","13",""
"Individuals worked from home every day or almost every day","Serbia","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Serbia","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Bosnia and Herzegovina","All Individuals","2018","Percentage of individuals","2",""
"Individuals worked from home every day or almost every day","Bosnia and Herzegovina","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","11",""
"Individuals worked from home every day or almost every day","Bosnia and Herzegovina","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","6",""
"Individuals worked from home every day or almost every day","Bosnia and Herzegovina","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Bosnia and Herzegovina","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home every day or almost every day","Kosovo (under United Nations Security Council Resolution 1244/99)","All Individuals","2018","Percentage of individuals","1",""
"Individuals worked from home every day or almost every day","Kosovo (under United Nations Security Council Resolution 1244/99)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","11",""
"Individuals worked from home every day or almost every day","Kosovo (under United Nations Security Council Resolution 1244/99)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","3",""
"Individuals worked from home every day or almost every day","Kosovo (under United Nations Security Council Resolution 1244/99)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home every day or almost every day","Kosovo (under United Nations Security Council Resolution 1244/99)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","9",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (from 2020)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home at least once a week (but not every day)","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home at least once a week (but not every day)","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","13",""
"Individuals worked from home at least once a week (but not every day)","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","10",""
"Individuals worked from home at least once a week (but not every day)","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home at least once a week (but not every day)","European Union - 28 countries (2013-2020)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","13",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","10",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home at least once a week (but not every day)","European Union - 27 countries (2007-2013)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home at least once a week (but not every day)","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of individuals","6",""
"Individuals worked from home at least once a week (but not every day)","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","13",""
"Individuals worked from home at least once a week (but not every day)","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","11",""
"Individuals worked from home at least once a week (but not every day)","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home at least once a week (but not every day)","European Union - 15 countries (1995-2004)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home at least once a week (but not every day)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home at least once a week (but not every day)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home at least once a week (but not every day)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","10",""
"Individuals worked from home at least once a week (but not every day)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home at least once a week (but not every day)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home at least once a week (but not every day)","Belgium","All Individuals","2018","Percentage of individuals","5",""
"Individuals worked from home at least once a week (but not every day)","Belgium","All Individuals","2018","Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery","12",""
"Individuals worked from home at least once a week (but not every day)","Belgium","All Individuals","2018","Percentage of employees and self-employed who used internet within the last year","10",""
"Individuals worked from home at least once a week (but not every day)","Belgium","All Individuals","2018","Percentage of individuals working from home",":",""
"Individuals worked from home at least once a week (but not every day)","Belgium","All Individuals","2018","Percentage of individuals working at an external site or on the move",":",""
"Individuals worked from home at least once a week (but not every day)","Bulgaria","All Individuals","2018","Percentage of individuals","2",""
