Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
4,Dans votre domicile,3,2.0,4,"Non, je les utilisais déjà beaucoup",74.0,3,Une fois par jour,4,4,La communication avec vos collègues est moins fluide,C'est pareil,Travailler en équipe,0.0,2,Oui,4,"Votre entreprise s'organise mieux, Vous avez davantage de temps libre",Tous les jours,Mon travail est plus étalé sur la journée et le soir,3,3,4,Non pas du tout,Entreprise individuelle ou indépendant,2.0,"Oui, tous les jours",Moins de 10min,1,Retraité + Fondateur,3,"Les gens qui sortent,la quarantaine devrait être plus stricte",Un homme,"Oui, un jardin",250.0,5,11,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères,Les interactions à distance avec vos proches",2.50339683029,48.7093130373,Aucune,A changer mes priorités,4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,3.0,5,"Non, je les utilisais déjà beaucoup",55.0,4,Une fois par jour,3,4,Vous avez l'impression de ne jamais vous arrêter de travailler,"Oui, on est plus proches","Travailler en équipe,Manager des équipes ou des projets",0.0,5,Oui,3,"Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports, Vous êtes plus concentré.e sur votre travail",2 fois par semaine ou plus,Non,3,3,5,Non pas du tout,Institution publique,3.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,3,"La santé de vos proches,Vous avez des sautes d'humeur",Une femme,"Oui, une terrasse ou un balcon",110.0,1,11,"Vous regardez très régulièrement l'actualité,Vous n'êtes pas particulièrement distrait.e",2.50339683029,48.7093130373,1-3 personnes,A faire plus attention à mes proches,3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,1,1.0,4,"Non, je ne les utilise pas",27.0,3,Un jour sur deux ou moins,2,4,"Vous vous sentez isolé.e,La communication avec vos collègues est moins fluide",C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,1,Oui,4,"Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous avez davantage de temps libre",Jamais,Non,5,5,2,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,1,"Grossir,Ne pas pouvoir aller chez le coiffeur,Avoir des projets annulés,Vous vous sentez seul.e,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Une femme,Aucun espace extérieur,40.0,2,11,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères,Vous n'êtes pas particulièrement distrait.e,Visionnage de séries et films",2.50339683029,48.7093130373,1-3 personnes,A changer mes priorités,3.0,2.0,Célibataire
4,Dans votre domicile,4,4.0,4,"Non, je les utilisais déjà beaucoup",55.0,5,Un jour sur deux ou moins,3,3,La communication avec vos collègues est moins fluide,C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,1,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous perdez moins de temps dans les transports, Votre entreprise s'organise mieux, Vous interagissez davantage avec les personnes qui vous entourent",Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",2,2,4,Beaucoup,Petite et moyenne entreprise (10 à 250 salariés),4.0,"Oui, le plus possible",De 30min à 1h,5,Cadre ou profession intellectuelle supérieure,4,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Un homme,"Oui, un jardin",300.0,5,32,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité",2.77138411879,49.9695114087,4-9 personnes,"A être plus autonome, A faire plus attention à mes proches",4.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,4.0,3,"Non, je les utilisais déjà beaucoup",55.0,4,Une fois par jour,1,4,La communication avec vos collègues est moins fluide,"Oui, on est plus proches","Manager des équipes ou des projets,Faire du développement commercial,Travailler en équipe",0.0,5,Oui,3,Vous ressentez moins de pression professionnelle et êtes plus détendu.e,1 fois par semaine,Non,3,3,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, le plus possible",Plus d'une heure,4,Profession libérale ou dirigeant,3,Aucune,Un homme,"Oui, un jardin",250.0,5,53,Vous n'êtes pas particulièrement distrait.e,-2.84155100405,48.177562744,1-3 personnes,A changer mes priorités,4.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,3.0,5,Un peu,44.0,4,Une fois dans la semaine ou moins,4,5,"La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e,C'est difficile de se concentrer",C'est pareil,"Manager des équipes ou des projets,Faire du développement commercial,Travailler en équipe",1.0,4,Non,2,"Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,Mon travail est plus étalé sur la journée et le soir,3,4,2,Un peu,Très petite entreprise (moins de 10 salariés),3.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau",Une femme,"Oui, une cour",62.0,5,11,"La situation liée au Covid 19,La présence d'autres personnes,Les interactions à distance avec vos proches",2.50339683029,48.7093130373,Aucune,A apprécier ma vie quotidienne,2.0,4.0,Célibataire
2,Dans votre domicile,5,5.0,1,Un peu,46.0,4,Un jour sur deux ou moins,5,4,"C'est difficile de se concentrer,La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent","Non, nos relations se détériorent légèrement","Travailler en équipe,Vous travaillez seul la plupart du temps",2.0,5,Non,1,"Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,4,1,Beaucoup,Grande entreprise (plus de 5000 salariés),4.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Employé,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Vous dormez mal,Vous avez des sautes d'humeur",Un homme,"Oui, une terrasse ou un balcon",90.0,1,11,"La situation liée au Covid 19,La présence d'autres personnes,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères,Les interactions à distance avec vos proches",2.50339683029,48.7093130373,1-3 personnes,"A télétravailler, A être plus autonome, A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",2.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,1.0,5,"Non, je les utilisais déjà beaucoup",44.0,2,Un jour sur deux ou moins,2,5,"Vous vous sentez isolé.e,La communication avec vos collègues est moins fluide,Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,"Manager des équipes ou des projets,Faire du développement commercial,Travailler en équipe",0.0,3,Oui,3,Vous perdez moins de temps dans les transports,1 fois par semaine,Non,3,4,4,Beaucoup,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),De 10 à 30min,2,Profession libérale ou dirigeant,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Avoir des projets annulés,Vous vous sentez seul.e",Un homme,Aucun espace extérieur,87.0,1,11,Manque d'interaction et d'échanges spontanés qui peuvent impacter la motivation,2.50339683029,48.7093130373,1-3 personnes,"A être plus ""commercial""",3.0,3.0,Célibataire
3,Dans votre domicile,2,2.0,5,"Non, je les utilisais déjà beaucoup",32.0,3,Une fois dans la semaine ou moins,4,4,moins de projets lié à la crise covid,C'est pareil,"Manager des équipes ou des projets,Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,4,Oui,4,"Vous avez davantage de temps libre, Vous perdez moins de temps dans les transports, Vous dormez mieux, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous interagissez davantage avec les personnes qui vous entourent",1 fois par semaine,Non,4,3,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, le plus possible",De 30min à 1h,3,Cadre ou profession intellectuelle supérieure,3,"La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Une femme,"Oui, une terrasse ou un balcon",50.0,4,11,"Vous n'êtes pas particulièrement distrait.e,La situation liée au Covid 19",2.50339683029,48.7093130373,1-3 personnes,A faire plus attention à mes proches,4.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,4.0,4,"Non, je les utilisais déjà beaucoup",36.0,5,Une fois par jour,1,5,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Les journées en télétravail sont plus fatiguantes,C'est difficile de se concentrer",C'est pareil,Travailler en équipe,2.0,5,Non,2,"Vous perdez moins de temps dans les transports, Vous interagissez davantage avec les personnes qui vous entourent",1 fois par semaine,Mon travail est plus étalé sur la journée,3,3,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),4.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir aller au bureau",Une femme,"Oui, un jardin",109.0,4,11,"La situation liée au Covid 19,La présence d'autres personnes,Vous regardez très régulièrement l'actualité,Les tâches ménagères",2.50339683029,48.7093130373,Aucune,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,4.0,4,"Non, je les utilisais déjà beaucoup",47.0,4,Un jour sur deux ou moins,2,5,La communication avec vos collègues est moins fluide,"Oui, on est plus proches","Manager des équipes ou des projets,Travailler en équipe",0.0,5,Oui,3,"Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Jamais,Mon travail est plus étalé sur la journée,4,3,4,Beaucoup,Petite et moyenne entreprise (10 à 250 salariés),4.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors",Un homme,Aucun espace extérieur,127.0,5,11,"La situation liée au Covid 19,La présence d'autres personnes,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,4-9 personnes,"A télétravailler, A faire plus attention à mes proches, A être plus empathique",4.0,5.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,3.0,4,"Non, je les utilisais déjà beaucoup",17.0,3,Une fois dans la semaine ou moins,3,4,La communication avec vos collègues est moins fluide,C'est pareil,Travailler en équipe,0.0,4,Oui,2,Vous perdez moins de temps dans les transports,Jamais,Non,3,3,3,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,2,La santé de vos proches,Un homme,"Oui, un jardin",90.0,4,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,1-3 personnes,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,4,2.0,4,Un peu,30.0,4,Une fois dans la semaine ou moins,2,4,La communication avec vos collègues est moins fluide,C'est pareil,Travailler en équipe,0.0,4,Oui,3,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée",Jamais,Mon travail est plus étalé sur la journée et le soir,3,2,4,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,1,"La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",70.0,4,84,"Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité",4.5361294779,45.5146468499,4-9 personnes,"A télétravailler, A être plus autonome, A faire plus attention à mes proches, A changer mes priorités",4.0,4.0,En couple et nous sommes confinés ensemble
3,Chez un membre de votre famille,3,4.0,4,"Non, je les utilisais déjà beaucoup",30.0,3,Une fois dans la semaine ou moins,5,4,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est pareil,Travailler en équipe,0.0,5,Oui,3,"Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,4,1,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,2,"La santé de vos proches,Avoir des projets annulés,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,mauvaise gestion gouvernementale en termes de préparation (pas normal de ne pas avoir de masques etc... et d'avoir compris trop tard ce qu'il se passait)",Un homme,"Oui, un jardin",115.0,5,84,Vous n'êtes pas particulièrement distrait.e,4.5361294779,45.5146468499,1-3 personnes,A télétravailler,4.0,3.0,Célibataire
2,Dans votre domicile,4,6.0,4,Un peu,25.0,4,Une fois dans la semaine ou moins,4,4,"Vous vous sentez isolé.e,Vous avez l'impression de ne jamais vous arrêter de travailler,C'est difficile de se concentrer",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",1.0,4,Oui,1,"Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée,4,1,4,Non pas du tout,Grande entreprise (plus de 5000 salariés),6.0,Non,De 30min à 1h,4,Cadre ou profession intellectuelle supérieure,4,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e,Vous avez des sautes d'humeur",Un homme,"Oui, un jardin",200.0,3,11,"La situation liée au Covid 19,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,1-3 personnes,Rien,2.0,4.0,Célibataire
4,Chez un membre de votre famille,3,5.0,2,"Non, je les utilisais déjà beaucoup",56.0,2,Une fois par jour,2,3,La communication avec vos collègues est moins fluide,"Non, nos relations se détériorent légèrement",Travailler en équipe,0.0,5,Oui,5,Vous êtes plus concentré.e sur votre travail,Exceptionnellement,Non,3,1,3,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 30min à 1h,5,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte",Une femme,"Oui, un jardin",150.0,3,53,Vous n'êtes pas particulièrement distrait.e,-2.84155100405,48.177562744,Plus de 10 personnes,A changer mes priorités,4.0,4.0,En couple et nous sommes confinés ensemble
3,Chez mes beaux-parents,4,5.0,3,Un peu,26.0,5,Une fois dans la semaine ou moins,5,4,"Vous vous sentez isolé.e,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer,Manager des équipes (stagiaires par exemple) très compliqué manque de sérieux et d’autonomie",C'est pareil,Manager des équipes ou des projets,0.0,4,Oui,3,"Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Plus de temps pour ma stratégie et la réflexion de l’entr",Exceptionnellement,Non,3,1,4,Un peu,Très petite entreprise (moins de 10 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Employé,2,"Avoir des projets annulés,Ne pas pouvoir sortir dehors,La santé de vos proches,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Les gens qui sortent,la quarantaine devrait être plus stricte",Une femme,"Oui, un jardin",150.0,4,24,"La présence d'autres personnes,Les tâches ménagères,La situation liée au Covid 19",1.68439387012,47.4847733655,1-3 personnes,"A télétravailler, A faire plus attention à mes proches, L’entreprenariat",3.0,3.0,En couple et nous sommes confinés ensemble
